lot_address,road_address,mart_name,mart_type,longitude,latitude
서울특별시 중구 을지로6가 18번지 21호 굿모닝시티쇼핑몰,"서울특별시 중구 장충단로 247 (을지로6가,굿모닝시티쇼핑몰)",굿모닝시티 쇼핑몰,쇼핑센터,127.00439089841292,37.56687321815724
,서울특별시 중구 세종대로9길 58-12 (서소문동),대한통운마트,그 밖의 대규모점포,,
,서울특별시 중구 청계천로 400 (황학동),신세계 이마트 청계천점,그 밖의 대규모점포,127.01854373612623,37.57097822274756
서울특별시 중구 회현동1가 204번지 메사빌딩,"서울특별시 중구 남대문시장10길 2 (회현동1가,메사빌딩)",신세계백화점메사점,쇼핑센터,126.97672690452976,37.56037702833541
,"서울특별시 중구 다산로 56, 제지2층 제비203호 (신당동, 남산정은스카이아파트)",롯데쇼핑(주)롯데슈퍼신당점,구분없음,127.00489689931491,37.54944901106226
서울특별시 중구 충무로1가 25번지 8호,서울특별시 중구 명동8나길 47 (충무로1가),롯데쇼핑(주)롯데슈퍼명동점,그 밖의 대규모점포,126.97938867734416,37.561059637373496
,서울특별시 중구 명동길 14 (명동2가),아바타,그 밖의 대규모점포,126.98000051200616,37.56341328305386
,서울특별시 중구 칠패로 5 (의주로2가),서소문화훼종합물류센터,그 밖의 대규모점포,126.96645985608129,37.560552747204646
,서울특별시 중구 동호로 249 (장충동2가),호텔신라아케이트,그 밖의 대규모점포,127.0031450195836,37.55674997726852
,서울특별시 중구 남대문시장10길 2 (회현동1가),메사,그 밖의 대규모점포,126.97672690452976,37.56037702833541
서울특별시 중구 충무로1가 24번지 1호,"서울특별시 중구 퇴계로 115 (충무로1가, 밀레오레 명동)",밀리오레명동,그 밖의 대규모점포,126.98162967219857,37.56105246696955
,서울특별시 중구 을지로 276 (을지로6가),라모도쇼핑몰,그 밖의 대규모점포,127.0055155192732,37.56527159144854
서울특별시 중구 신당동 22번지,서울특별시 중구 마장로 22 (신당동),패션몰 유어스,그 밖의 대규모점포,127.00920959640536,37.56717364990018
서울특별시 용산구 한강로2가 15-2 나진상가,"서울특별시 용산구 청파로 125, 나진상가 (한강로2가)","나진상가 17,18동",전문점,126.96251937997351,37.53388408736332
서울특별시 용산구 한남동 631번지 5호 허준빌딩,"서울특별시 용산구 대사관로34길 26, 허준빌딩 1층 (한남동)",롯데슈퍼 한남점(가맹점),구분없음,127.00277606723054,37.532116450321794
서울특별시 용산구 남영동 93번지 30호,서울특별시 한강대로77길 12,롯데프레시 갈월점,구분없음,126.96897500999948,37.54221782841724
서울특별시 용산구 한강로1가 191호   ,,국제센터아케이드,그 밖의 대규모점포,126.97127105427673,37.53342571077417
서울특별시 용산구 한강로2가 413호   ,서울특별시 용산구 청파로 113-12 (한강로2가),(주)전자타운,그 밖의 대규모점포,126.96141772180384,37.53410384324059
서울특별시 용산구 한강로3가 40번지 999호,서울특별시 용산구 한강대로23길 55 (한강로3가),아이파크몰(I PARK MALL),쇼핑센터,126.96126654334232,37.52955742609546
서울특별시 용산구 한강로2가 191호,서울특별시 용산구 한강대로 92 (한강로2가),LS Avenue,그 밖의 대규모점포,126.96508318656628,37.5281936487888
서울특별시 용산구 한강로2가 15번지 14호,"서울특별시 용산구 새창로 181 (한강로2가, 선인상가)",선인상가,전문점,126.96214237270284,37.53301024045151
서울특별시 용산구 한강로3가 40번지 999호,서울특별시 용산구 한강대로23길 55 (한강로3가),아이파크(I PARK)백화점,백화점,126.96126654334232,37.52955742609546
서울특별시 용산구 서계동 260번지 1호,서울특별시 용산구 효창원로 270 (서계동),만리시장,시장,126.96073613371482,37.55129386425684
서울특별시 용산구 이태원동 119번지 25호,서울특별시 용산구 이태원로 179 (이태원동),해밀톤 쇼핑몰,쇼핑센터,126.99069783622969,37.53470672292456
서울특별시 용산구 한강로3가 16번지 9호,서울특별시 용산구 청파로 74 (한강로3가),(주)에스와이에스홀딩스,전문점,126.95683746953844,37.532814469423805
서울특별시 용산구 한강로3가 1번지 1호 나진상가,"서울특별시 용산구 청파로 109, 나진상가 (한강로3가)",나진산업 주식회사,전문점,126.96052858606322,37.53362129147816
서울특별시 용산구 원효로3가 51번지 30호,서울특별시 용산구 청파로 77 (원효로3가),원효전자상가,전문점,126.95700087422412,37.53368392893002
서울특별시 용산구 용산동6가 69번지 167호,서울특별시 용산구 이촌로 352 (용산동6가),신동아 쇼핑센터,쇼핑센터,126.98232123877584,37.5172556579229
서울특별시 용산구 한강로2가 413호,서울특별시 용산구 청파로 113-12 (한강로2가),전자타운,전문점,126.96141772180384,37.53410384324059
서울특별시 용산구 이태원동 56번지 9호,서울특별시 용산구 이태원로14길 6 (이태원동),이태원시장,시장,126.9871630246532,37.53382954418872
서울특별시 용산구 한강로3가 2-8,"서울특별시 용산구 청파로 100, 12동 2층 (한강로3가)",(주)서부티엔디,전문점,126.95949356249974,37.53281151670074
서울특별시 용산구 용산동6가 69-167 신동아쇼핑,"서울특별시 용산구 이촌로 352, 신동아쇼핑 (용산동6가)",신동아쇼핑센터,쇼핑센터,126.98232123877584,37.5172556579229
서울특별시 용산구 한강로3가 63-70,"서울특별시 용산구 서빙고로 17, 용산해링턴스퀘어 C동 1층 111~115호 (한강로3가)",GS THE FRESH 용산해링턴점,복합쇼핑몰,126.9646016818608,37.52592820764722
서울특별시 용산구 한강로3가 1-1 나진상가,"서울특별시 용산구 청파로 109, 나진상가 14동 (한강로3가)",나진전자월드상가,전문점,126.96052858606322,37.53362129147816
서울특별시 용산구 용산동6가 69번지 167호,서울특별시 용산구 이촌로 352 (용산동6가),롯데쇼핑(주)롯데슈퍼 신동아점,구분없음,126.98232123877584,37.5172556579229
,서울특별시 용산구 한강대로 205 (한강로1가),롯데마켓999 용산파크자이가맹점,구분없음,126.96977221851432,37.53662614792345
서울특별시 용산구 이촌동 300번지 27  호,서울특별시 용산구 이촌로 224 (이촌동),한강상가,시장,126.96905608788694,37.52016368273121
서울특별시 용산구 한강로3가 40번지 969호,서울특별시 용산구 청파로20길 83 (한강로3가),터미널전자상가,전문점,126.9595523192615,37.53192026020864
서울특별시 용산구 한강로3가 3-23 나진상가,"서울특별시 용산구 청파로 112, 나진상가 (한강로3가)",나진상가 15동,전문점,126.9608740001171,37.53305395701685
서울특별시 용산구 보광동 260번지 8호,서울특별시 용산구 보광로 30 (보광동),보광시장,시장,126.99739403317533,37.52721283257035
서울특별시 용산구 한강로2가 15번지 19호,서울특별시 용산구 청파로 122 (한강로2가),(주)농협유통하나로클럽용산점,대형마트,126.96184379369888,37.53317898274998
서울특별시 용산구 산천동 202호,서울특별시 용산구 원효로 51 (산천동),삼성테마트,그 밖의 대규모점포,126.94751850923991,37.53402784077287
서울특별시 성동구 하왕십리동 1070 센트라스,"서울특별시 성동구 왕십리로 410, 상가(L)동 지하1층 B102,B103호 (하왕십리동, 센트라스)",GS THE FRESH 성동센트라스점,구분없음,127.02475652676304,37.56611043354589
,서울특별시 성동구 왕십리로 241 (행당동),파크에비뉴 엔터식스 한양대점,복합쇼핑몰,127.0373009510374,37.55648525821891
서울특별시 성동구 왕십리2동 966번지 11호,서울특별시 성동구 왕십리로 333 (하왕십리동),홈플러스(주) 익스프레스 왕십리점,구분없음,127.02965738975224,37.56271860230876
